feature,importance
number_inpatient,0.36569935100554923
discharge_disposition_id,0.15504768691182574
number_emergency,0.06432396703356297
num_lab_procedures,0.05628484308859344
num_medications,0.055181942166348336
time_in_hospital,0.05450719600603083
number_diagnoses,0.048681407014024375
age,0.04029840052877582
num_procedures,0.02225332501257075
number_outpatient,0.02113964134420018
insulin,0.020600712698680686
admission_type_id,0.018869298621857628
race,0.015559174894106556
admission_source_id,0.015546252252838037
A1Cresult,0.013162637223230066
diabetesMed,0.012381879427131322
max_glu_serum,0.008028821513441978
gender,0.006724042294149164
change,0.005709420963082753
